Cage;Diet;Group;ID;body_weight;colon length;spleen weight;liver weight;Pedigree prefix;Age start (d)
1;50;DSS;15833A;20,54;5,4;0,1031;1,223;15833A;83
1;50;DSS;15894D;24,5;5,3;0,164;1,5378;15894D;75
1;50;DSS;;;;;;;
3;50;DSS;19017A;25,8;4,4;0,3279;1,0091;19017A;64
3;50;DSS;15842C;27,4;5,3;0,1068;1,5964;15842C;85
3;50;DSS;15978A;24,5;4,7;0,125;1,3727;15978A;67
5;50;DSS;15935C;24,3;6;0,113;1,3036;15935C;68
5;50;DSS;15913C;21,6;6;0,1789;1,0355;15913C;77
5;50;DSS;15820B;20,9;5,5;0,1588;1,0784;15820B;88
7;500;DSS;15834B;19,4;5,6;0,0769;0,8368;15834B;83
7;500;DSS;19005D;21,35;6;0,083;1,155;19005D;64
7;500;DSS;15980C;24,91;6;0,185;1,5;15980C;67
9;500;DSS;19018B;27,3;5;0,1091;1,536;19018B;64
9;500;DSS;15891A;24,5;5,5;0,1511;1,4284;15891A;75
9;500;DSS;15822D;22,8;5;0,096;1,3418;15822D;88
11;500;DSS;;;;;;;
11;500;DSS;15970C;23,7;5,2;0,1392;1,2943;15970C;72
11;500;DSS;15841B;24,9;6;0,2373;1,6427;15841B;85
2;50;water;15899A;27,53;5,8;0,0899;1,4539;15899A;73
2;50;water;15845B;23,22;5,4;0,0702;1,2562;15845B;85
2;50;water;15947B;21,47;5,9;0,0808;0,9874;15947B;65
4;50;water;15857B;23,2;6;0,1096;0,7124;15857B;81
4;50;water;19004C;23,5;5,5;0,0923;1,1854;19004C;64
4;50;water;15905A;24,1;5,4;0,1004;1,1125;15905A;78
6;50;water;15956A;23,1;6;0,0901;1,156;15956A;70
6;50;water;15840A;23,5;7,1;0,09;1,2605;15840A;85
6;50;water;;;;;;;
8;500;water;;;;;;;
8;500;water;15844A;24,3;6,6;0,09;1,4785;15844A;85
8;500;water;15999A;28;5,5;0,0985;1,4523;15999A;64
10;500;water;15862C;23,3;4,2;0,083;1,0336;15862C;81
10;500;water;15948C;23,2;5,7;0,9;1,1023;15948C;65
10;500;water;15856A;21,7;5;0,1179;0,9589;15856A;81
12;500;water;15843D;25,94;6,4;0,1054;1,4414;15843D;85
12;500;water;15983B;22,58;5,7;0,0962;1,1716;15983B;67
12;500;water;15912B;24,54;6,1;0,1108;1,2604;15912B;77
