cage;id;diet;treatment;2023-11-15;2023-11-20;2023-11-27;2023-12-04;2023-12-05;2023-12-06;2023-12-07;2023-12-08;2023-12-09;2023-12-11;2023-12-18;2023-12-27;2024-01-03;2024-01-11;2024-01-15;2024-01-22;2024-01-29;2024-02-07
1;15833A;50;dss;18,1;18,3;19,2;18;18;18,3;18,7;17,5;17,4;14,4;16,2;18,3;18,7;19,4;20;20,3;21,3;20,54
1;15894D;50;dss;20,1;22,1;21,1;20,6;20,8;21,3;21;20,5;19,9;18;19;20,8;21,7;23,6;22,3;24,4;23,2;24,5
1;15998B;50;dss;19,6;19,6;19,8;20;19,4;18,9;18,3;17,9;17,5;17;17,4;16,5;17,7;17,3;15,7;12,8;15,6;
3;19017A;50;dss;22,4;20,9;22;21,3;21,1;20,8;20,7;20,2;18,6;16,2;15,7;19,2;22,1;24,5;24,2;24,2;23,7;25,8
3;15842C;50;dss;34,2;23,3;24;24;23,5;23,5;22,9;22,2;20,3;18,1;19,6;21,5;22,8;23,8;22,7;24,9;25,6;27,4
3;15978A;50;dss;23,3;21,5;23,4;22;21,7;22;22,3;21,2;20,2;18,4;18,4;19,1;19,1;21,7;22,2;22,5;24,3;24,5
5;15935C;50;dss;23,5;21,6;22,4;20,8;20,9;20,9;21,4;21,2;20,8;18;16,8;19,4;21,4;22,1;22,4;23,5;23,2;24,3
5;15913C;50;dss;22,1;20,6;21,5;21,3;21;21,1;20,9;20,4;19,7;18;16,8;18,1;21,3;22,5;21,7;21,2;21,4;21,6
5;15820B;50;dss;20,7;20,9;22,4;21,3;21,3;21,2;21,9;20,9;19,9;18,1;15,6;18,2;19,9;21,1;20,7;21,8;21,6;20,9
7;15834B;500;dss;18,8;17,7;18,6;17,4;18;17,8;17,9;17,7;16,9;15,8;16,7;17,8;19,1;19,5;19,5;19,8;19,9;19,4
7;19005D;500;dss;20,8;19,6;20,5;20,7;22,1;22,2;21,8;21,1;20,1;18,3;19;20,1;20,7;22,1;22,1;21,6;22,7;21,35
7;15980C;500;dss;23,6;22,3;23,2;22,7;22,5;22,2;22,4;22;20,5;18,6;18,1;20,8;21,6;21,7;22,7;22,8;24,6;24,91
9;19018B;500;dss;22,9;22,3;23,8;22;23,3;22,8;22,2;22,5;22,3;21,5;23,1;24,1;24,8;24,9;24,2;23,3;27,4;27,3
9;15891A;500;dss;21,1;22,1;21,9;21,3;21,2;21,5;21,7;21,5;20;17,7;19,1;21,1;21,8;22,6;23,7;24,6;24,7;24,5
9;15822D;500;dss;24,2;22,7;24,1;23,2;23,4;23,2;23,2;22,8;21,7;19,3;14,6;18,7;21,4;22,8;22,4;23,2;21,8;22,8
11;15951A;500;dss;19,4;18,5;19,6;17,6;18,3;18,5;18,5;17,9;16;13,8;;;;;;;;
11;15970C;500;dss;23,2;22,8;23,5;22,7;23,5;23,2;23,5;23;22;19,2;18,6;21,8;21,6;24,5;24,6;23,8;23,4;23,7
11;15841B;500;dss;21,1;20,5;22;21,9;22,4;21,9;21,9;21,2;19,8;16,6;14,8;20,4;23;23,8;23,5;24,1;24,1;24,9
2;15899A;50;water;24,6;23,8;24,6;24;24,2;23,7;23,4;23,5;23,9;23,4;24,5;24,7;25,1;25,7;23,4;26,4;26,7;27,53
2;15845B;50;water;21,6;19,8;21,4;21;20,3;20,2;19,8;19,9;19,8;19,8;20;20,9;21,5;23,4;22,8;23,7;24,7;23,22
2;15947B;50;water;21,3;20,5;21,5;20,9;21,1;20,8;20,7;20,4;20,6;20,5;20,5;22,8;21,4;20;21,5;21,6;22;21,47
4;15857B;50;water;19,5;19,7;21,1;20,4;20,1;20,5;20,6;20,3;21,1;20,8;20,8;21,8;21,1;21,4;21,4;22,3;21,9;23,2
4;19004C;50;water;21,3;21,4;20,8;20;19,6;20,5;20,6;20,5;20,1;20,7;21,2;22,8;22,8;22;22,2;22,6;23,2;23,5
4;15905A;50;water;22;22,3;22;23,4;23,1;23;23;22,8;23,3;22,8;23,1;24,5;23,8;24,9;25;25,6;23,6;24,1
6;15956A;50;water;22,1;21,5;21,3;21,3;21,5;21,3;21,1;21,4;21;21,4;22,3;23,4;22,3;22,5;22,9;23,6;23,8;23,1
6;15840A;50;water;22;21;22,5;21,9;22;22,7;22,3;22,1;22,4;22;22,5;22,5;22,7;23,2;22,6;23,4;23,6;23,5
6;15861B;50;water;;;;;;;;;;;;;;;;;;
8;15906B;500;water;22;21,7;21,9;22,2;22,2;22;21,4;20,9;20,4;18,9;18,8;;;;;;;
8;15844A;500;water;24,8;23,7;24,3;23;23,2;23,2;23,5;23,2;23,1;23,2;24;25,4;23,7;23,8;24,2;25,4;26,4;24,3
8;15999A;500;water;25,3;24,2;24,8;24;24,4;24;24,6;24,1;24,1;24,3;24,5;25,6;26,8;27,2;26,8;27,4;28,6;28
10;15862C;500;water;21,6;21,1;21;19,7;20,8;20,8;20,7;20,4;20,5;20,8;21,5;21,8;21,8;22,6;22,8;22,7;22,3;23,3
10;15948C;500;water;33,1;20,9;21,3;21;21,1;20,9;20,6;20;20,8;21;21,6;23,3;22,4;23,4;23;23,3;22,8;23,2
10;15856A;500;water;22,5;23,4;21,6;21,6;22,2;22,3;21,6;21,5;21,5;21,7;23,9;22;23,2;23,7;23,3;22,7;21,6;21,7
12;15843D;500;water;22;21,1;22,5;23,6;22,8;22,8;22,8;23;22,3;22,2;22,6;22,1;23,2;24,4;24,4;26,1;26,7;25,94
12;15983B;500;water;19,4;19,7;19;19,3;20,1;20,3;20,3;20,2;20,3;20,2;19,5;21,3;20;20,9;20,6;22,7;20,4;22,58
12;15912B;500;water;22,6;21,8;22,8;22,5;22,7;22,8;23,3;22,8;22,8;22,7;22,5;23,3;23,3;24,3;23,6;24,1;24;24,54
