cage;id;diet;treatment;body_weight;colon_length;spleen_weight;liver_weight
1;10971;50;water;23,1;5,7;0,0853;1,3682
1;10996A;50;water;23,3;6,3;0,0729;1,296
3;33106;50;water;23,6;6,2;0,0808;1,1396
3;10960A;50;water;22,9;5,5;0,0739;1,37
7;33107A;50;dss;23,4;5,4;0,0848;1,1988
7;10959;50;dss;22,1;6;0,1259;1,1144
9;33114C;50;dss;21,6;5,5;0,1066;0,8104
9;10992B;50;dss;22,6;6,2;0,0702;1,4388
13;10998;500;water;22,7;7,1;0,1543;1,3196
13;33117A;500;water;25,8;6,4;0,0939;1,4185
15;10999A;500;water;25,7;5,8;0,1042;1,154
15;10967C;500;water;24,5;6,1;0,1383;1,4339
19;33101C;500;dss;22,8;5,6;0,0967;1,154
19;10977B;500;dss;25,7;6,3;0,102;1,4339
21;10964;500;dss;22,5;6;0,0845;1,2281
21;10978C;500;dss;22,3;6;0,095;1,2019
2;10995;50;water;22,3;6,2;0,0684;1,1662
2;33112A;50;water;21,7;6;0,0833;0,9871
4;33108;50;water;24,1;6,8;0,081;1,3254
4;10991A;50;water;23,2;5,6;0,0647;1,1331
8;33109A;50;dss;24,2;6,2;0,085;1,1483
8;10990;50;dss;21,8;6,6;0,1179;1,1434
10;33115D;50;dss;22,4;6,3;0,1095;1,027
10;10997B;50;dss;26,4;6,3;0,0948;1,1697
14;33103;500;water;25,1;6,4;0,1221;1,2444
14;10956A;500;water;24,7;6,3;0,0943;1,3098
16;10947A;500;water;23,6;6;0,0894;1,2852
16;10957B;500;water;22,7;6,3;0,0914;1,0937
20;33102D;500;dss;22,2;6,5;0,093;1,2015
20;10958C;500;dss;24,3;5,8;0,08;1,0841
22;10979D;500;dss;24,3;6;0,0917;1,2612
22;10965A;500;dss;21,9;5,9;0,1392;1,0352
5;10968;50;water;20,6;5,7;0,0965;0,8666
5;33113B;50;water;25,1;6,6;0,1063;1,3501
6;33111;50;water;21,7;6,6;0,0919;1,1194
6;10970B;50;water;25,7;6,1;0,0829;1,3819
11;33110;50;dss;23,3;5,8;0,0753;1,4358
11;10993C;50;dss;24,1;6,2;0,1052;1,3385
12;10961B;50;dss;24,9;6,2;0,2146;1,3584
12;10994D;50;dss;23,7;6,3;0,1239;1,3562
17;33118B;500;water;26,3;5,6;0,09;1,2965
17;10976A;500;water;26,7;6;0,0699;1,2834
18;11000B;500;water;23,4;6,4;0,0877;1,3102
18;10975;500;water;24,3;6,4;0,0874;1,1894
23;10966B;500;dss;22,6;6,1;0,225;1,2801
23;;;;;;;
24;10946;500;dss;22,6;6,4;0,0912;1,2352
24;33105B;500;dss;23,6;6,4;0,1162;1,1526
