Cage;Diet;Group;ID;body_weight;colon length;spleen weight;liver weight
1;50; Water;27171;21,1;5,8;0,0745;0,8672
1;50; Water;27123;21,5;3,9;0,0936;1,0595
2;50; Water;27190;24,9;6;0,1011;1,1189
2;50; Water;27161;22,8;5;0,0865;1,2303
3;50; Water;27135;24,9;5,7;0,0703;0,9804
3;50; Water;27193;21,9;5,7;0,0859;1,1787
4;50; Water;27125;21,2;4,6;0,0868;0,8257
4;50; Water;27181;21,9;5,2;0,0941;1,1508
6;50;DSS;27164;21,8;4,5;0,1397;0,9215
6;50;DSS;27116;23,2;5;0,1181;1,136
7;50;DSS;27162;24,5;4,8;0,1725;1,3022
7;50;DSS;27191;22,8;5,1;0,1119;1,1893
8;50;DSS;27149;22,7;4,7;0,1285;1,2612
8;50;DSS;27118;21;4,9;0,1284;0,9318
9;500;Water;27151;26,9;5,4;0,097;1,3215
9;500;Water;27182;24,1;5,4;0,1002;1,2717
10;500;Water;27165;22,3;5,7;0,0858;1,0615
10;500;Water;27136;23;5,2;0,0842;0,8442
11;500;Water;27122;21,3;4,4;0,0796;1,2209
11;500;Water;27143;23,1;5,5;0,1535;1,2801
12;500;Water;27189;20,5;4,9;0,0597;0,9518
12;500;Water;27128;20;5;0,0792;1,0905
15;500;DSS;27163;24,3;5,3;0,1803;1,5235
15;500;DSS;27150;23;5,2;0,2924;1,2113
16;500;DSS;27172;19,4;5,3;0,1283;1,1425
16;500;DSS;27124;21,3;4,8;0,1057;1,3021
