cage;id;diet;treatment;2024-04-09;2024-04-10;2024-04-11;2024-04-12;2024-04-13;2024-04-14;2024-04-15;2024-04-23;2024-04-30;2024-05-07;2024-05-14;2024-05-21
1;10971;50;water;7,6;8,6;9,8;10,2;10,9;11,7;12,4;16,7;17,4;18,4;18,5;19,2
1;996A;50;water;7,7;8,8;9,9;10,8;10,8;11,7;12;15,2;17;17,5;19;19,8
2;995;50;water;8,1;8,5;10;10;11;11,8;12,6;17,1;17,1;17,6;17,9;18,8
2;112A;50;water;8,3;8,8;9,7;9,6;10,3;11,5;12,2;17;18,1;19,4;20,4;20,4
3;106;50;water;8,1;8,9;10;10,5;11,5;12,2;12,6;17;17,9;18,8;19,2;19,8
3;10960A;50;water;8,9;9,8;10,7;11,3;12;12,7;13,5;16,9;17,5;18,1;18,7;18,7
4;108;50;water;10;9,2;9,8;10,4;10,8;11,3;12;15,2;17,5;17,9;18,7;19,1
4;10991A;50;water;8,1;8,8;10;10,7;11,7;12,7;13,5;16,4;17,9;18,6;19,3;19,8
5;10968;50;water;8,8;9,7;10,6;10,9;12,3;13;13,3;15,7;17;17,3;17,8;18,3
5;113B;50;water;7,6;7,9;8,5;9,1;9,8;10,4;11;15,4;18;18,4;19,8;20,6
6;111;50;water;6,8;7,2;7,8;8,3;9,4;10,6;11,1;15;17,1;17,2;18,5;18,9
6;10970B;50;water;9,6;10,5;11,3;12;13;13,7;14,2;17;18,6;19;20,9;20,5
7;107A;50;DSS;8,2;9;9,9;10,7;11,6;12,3;13;16,7;17,2;18,3;18,6;19,1
7;10959;50;DSS;6,6;7,9;8,6;9,4;10,3;11,1;11,8;15,4;16;17,1;17,5;18,1
8;109A;50;DSS;10,6;9,7;10,1;10,5;11,1;11,8;12,6;17,4;18,2;19,3;19,5;20,9
8;10990;50;DSS;9;9,9;10,6;11;11,9;12,8;13,6;18;18,9;19,8;20,7;20,6
9;114C;50;DSS;7,5;8;8,3;8,8;10;10,7;11,3;15,6;17,8;17,6;20;19,5
9;10992B;50;DSS;9,2;9,9;10,5;10,9;12;13;13,6;16,8;18;19;20,6;21,8
10;115D;50;DSS;7,4;8,3;9,1;10;10,6;11,4;12,1;16,9;18,1;18,2;19,2;19,1
10;997B;50;DSS;8,1;9;9,8;10,6;10,9;11,9;12,6;15,9;16,9;17,6;19,2;19,5
11;110;50;DSS;8,7;9;9,5;10,1;11,1;11,5;12,4;16;17,4;18,5;18,9;19,7
11;10993C;50;DSS;9,6;10,4;11,1;11,5;12,5;12,7;12,9;16,5;18,3;18,9;19,2;19,5
12;10961B;50;DSS;12,4;13,2;13,8;14,3;14,7;15,4;15,6;18;19,9;20,2;21,1;21
12;10994D;50;DSS;8,6;9,6;10,2;10,6;11,5;12,2;13;16,8;18,2;18,5;19;19,5
extra 50;10969A;50;DSS;8,5;9,3;9,9;10,6;11;12,4;12,9;15;16,7;17,7;18;18,3
;;;DSS;;;;;;;;;;;;
13;998;500;water;8,4;8,4;8,8;9;9,4;10;10,4;13,1;14,9;16;16,7;18,2
13;117A;500;water;10,4;10,2;10,7;10,8;11,5;12,3;13,3;17,4;19,4;20,6;20,5;21,9
14;103;500;water;10,1;10,5;11,6;12,3;12,8;14,3;15,1;19,3;19,4;20,2;21,2;22,1
14;10956A;500;water;7,7;8,7;9,3;10;10,5;11,9;12;16,1;17,8;19,2;19;20,3
15;999A;500;water;8,4;8,7;8,6;9,7;10;11,3;11,9;15,2;17,1;18,2;19;19,3
15;10967C;500;water;11,3;11,8;11,7;13,1;13,3;14,4;15,1;17,5;18,8;19,7;20,6;20
16;116;500;water;9,2;8,2;8,6;9,2;9,8;10,2;10,6;13,1;13,2;13,1;12,5;11,6
16;10957B;500;water;7,7;8,3;9,2;10,1;10,9;11,7;12,4;17,3;18,3;19,1;20,2;21,2
17;118B;500;water;9,9;9,7;10,2;10,9;11,6;12,6;13,1;17,6;19,3;19,8;19,9;20,8
17;10976A;500;water;10,2;10,5;10,9;11,8;12,3;12,9;13,7;16,7;18,3;18,5;18,7;20,1
18;000B;500;water;8,5;7,5;8,6;9;9,9;10,7;11,9;17,2;18,3;18,2;19,1;19,5
18;10955;500;water;7,3;8;9,1;9,7;10;10,9;10,9;13,7;15;14,9;15,5;16
19;101C;500;DSS;9;7,8;8,5;9,3;10,2;11,2;12,3;13,8;18,1;18,4;19;19,7
19;10977B;500;DSS;9,8;10;11;11,2;12,2;12,9;13,6;16,9;18,8;19,5;19,5;20,6
20;102D;500;DSS;9,5;10;10,5;10,9;11,7;12,1;13;15,6;17,7;18;19;19,8
20;109958C;500;DSS;10,7;11,9;12,4;13;13,7;14,5;14,8;18;19,7;19,7;20,4;20,9
21;10964;500;DSS;9,7;10,7;11,5;11,9;12,7;13,3;14,1;16,1;18,3;19,1;18,9;19,4
21;10978C;500;DSS;9,5;10,1;10,7;11,2;11,9;12,6;13;15,2;16,9;17,2;18,2;19,2
22;10979D;500;DSS;9,9;10,6;11,4;11,4;12,3;13;13,6;16;18,4;19,1;19,7;20
22;10965A;500;DSS;9,3;9,7;10,7;10,8;11,7;12,5;13,2;15,7;17,1;17,6;19,1;19,3
23;10966B;500;DSS;9,4;9,9;10,8;11,5;12,7;13,4;14,1;16,7;17,4;18;18,4;19
23;104A;500;DSS;8,1;8,2;8,8;9,5;10,3;10,9;11,7;14,9;16,8;17,3;17,6;18,4
24;10946;500;DSS;6,6;8,2;8,5;9,4;10,2;11;11,6;15,6;17;17,4;18,6;19,5
24;105B;500;DSS;8,6;9,1;9,8;10,6;11,6;12,4;13,3;17,6;18,5;19,6;20;20,5
extra 500;10947A;500;DSS;7,4;8,8;9,6;10;11;11,9;12,5;16,4;17,8;18,4;19,6;20,1
extra 500;10975;500;DSS;9,4;10,1;11,1;11,6;12,6;13,5;13,5;16,2;17,8;18,9;19,9;20
